Benefits,Building,Customer,Date,Department,Employee Name,Hire Date,Month,Product,Region,Salesperson,Status,Item Cost,Job Rating,No.Items,Salary,Total Cost,Years
R,North,Ellington Equipment,8/16/2014,Sales,"Arnold, Cole",2/26/2010,Feb,"Thermal Vest, Case of 12",NE,"Arnold, Cole",Full Time,799,5,1,22860,799,6
R,North,Ellington Equipment,1/25/2015,Sales,"Arnold, Cole",2/26/2010,Feb,"Thermal Vest, Case of 12",NE,"Arnold, Cole",Full Time,799,5,2,22860,1598,6
R,North,Ellington Equipment,9/30/2015,Sales,"Arnold, Cole",2/26/2010,Feb,"Thermal Vest, Case of 12",NE,"Arnold, Cole",Full Time,799,5,9,22860,7191,6
R,North,Ellington Equipment,6/3/2015,Sales,"Arnold, Cole",2/26/2010,Feb,"Polo Sweatshirt, Case of 12",NW,"Arnold, Cole",Full Time,340,5,2,22860,680,6
R,North,Ellington Equipment,7/13/2014,Sales,"Arnold, Cole",2/26/2010,Feb,"Polo Sweatshirt, Case of 12",NW,"Arnold, Cole",Full Time,340,5,6,22860,2040,6
R,North,Ellington Equipment,6/18/2015,Sales,"Arnold, Cole",2/26/2010,Feb,"Polo Sweatshirt, Case of 12",NW,"Arnold, Cole",Full Time,340,5,7,22860,2380,6
R,North,Ellington Equipment,5/21/2014,Sales,"Arnold, Cole",2/26/2010,Feb,90 Day H+ Supplement Pack,NE,"Arnold, Cole",Full Time,168,5,4,22860,672,6
R,North,Ellington Equipment,12/13/2015,Sales,"Arnold, Cole",2/26/2010,Feb,90 Day H+ Supplement Pack,NE,"Arnold, Cole",Full Time,168,5,4,22860,672,6
R,North,Ellington Equipment,12/21/2014,Sales,"Arnold, Cole",2/26/2010,Feb,90 Day H+ Supplement Pack,NE,"Arnold, Cole",Full Time,168,5,9,22860,1512,6
R,North,Ellington Equipment,5/23/2015,Sales,"Arnold, Cole",2/26/2010,Feb,90 Day H+ Supplement Pack,NE,"Arnold, Cole",Full Time,168,5,14,22860,2352,6
R,North,Ellington Equipment,1/14/2015,Sales,"Arnold, Cole",2/26/2010,Feb,90 Day H+ Supplement Pack,NE,"Arnold, Cole",Full Time,168,5,15,22860,2520,6
R,North,Ellington Equipment,11/16/2014,Sales,"Arnold, Cole",2/26/2010,Feb,30 Day H+ Supplement Pack,NE,"Arnold, Cole",Full Time,79,5,8,22860,632,6
R,North,Ellington Equipment,8/17/2015,Sales,"Arnold, Cole",2/26/2010,Feb,30 Day H+ Supplement Pack,NE,"Arnold, Cole",Full Time,79,5,13,22860,1027,6
R,North,Ellington Equipment,12/6/2015,Sales,"Arnold, Cole",2/26/2010,Feb,"V-neck sweater, Case of 12",NE,"Arnold, Cole",Full Time,340,5,7,22860,2380,6
,Watson,Ellington Equipment,1/7/2015,Sales,"Byrd, Asa",7/25/2003,Jul,"Thermal Vest, Case of 12",SE,"Byrd, Asa",Hourly,799,2,7,11044,5593,12
,Watson,Ellington Equipment,12/8/2015,Sales,"Byrd, Asa",7/25/2003,Jul,"Thermal Vest, Case of 12",SE,"Byrd, Asa",Hourly,799,2,14,11044,11186,12
,Watson,Ellington Equipment,3/5/2014,Sales,"Byrd, Asa",7/25/2003,Jul,90 Day H+ Supplement Pack,SE,"Byrd, Asa",Hourly,168,2,11,11044,1848,12
,Watson,Ellington Equipment,12/9/2015,Sales,"Byrd, Asa",7/25/2003,Jul,90 Day H+ Supplement Pack,SE,"Byrd, Asa",Hourly,168,2,12,11044,2016,12
,Watson,Ellington Equipment,4/2/2014,Sales,"Byrd, Asa",7/25/2003,Jul,90 Day H+ Supplement Pack,SE,"Byrd, Asa",Hourly,168,2,14,11044,2352,12
,Watson,Ellington Equipment,1/11/2015,Sales,"Byrd, Asa",7/25/2003,Jul,90 Day H+ Supplement Pack,SE,"Byrd, Asa",Hourly,168,2,15,11044,2520,12
,Watson,Ellington Equipment,3/16/2014,Sales,"Byrd, Asa",7/25/2003,Jul,30 Day H+ Supplement Pack,SE,"Byrd, Asa",Hourly,79,2,5,11044,395,12
,Watson,Ellington Equipment,8/6/2015,Sales,"Byrd, Asa",7/25/2003,Jul,30 Day H+ Supplement Pack,SE,"Byrd, Asa",Hourly,79,2,8,11044,632,12
,Watson,Ellington Equipment,1/13/2014,Sales,"Byrd, Asa",7/25/2003,Jul,30 Day H+ Supplement Pack,SE,"Byrd, Asa",Hourly,79,2,11,11044,869,12
,Watson,Ellington Equipment,10/21/2015,Sales,"Byrd, Asa",7/25/2003,Jul,"V-neck sweater, Case of 12",SE,"Byrd, Asa",Hourly,340,2,6,11044,2040,12
,Watson,Ellington Equipment,12/27/2014,Sales,"Byrd, Asa",7/25/2003,Jul,"V-neck sweater, Case of 12",SE,"Byrd, Asa",Hourly,340,2,12,11044,4080,12
,Main,Ellington Equipment,1/7/2015,Sales,"Christensen, Jill",11/12/2010,Nov,"Thermal Vest, Case of 12",NW,"Christensen, Jill",Hourly,799,3,8,35312,6392,5
,Main,Ellington Equipment,5/10/2014,Sales,"Christensen, Jill",11/12/2010,Nov,"Thermal Vest, Case of 12",NW,"Christensen, Jill",Hourly,799,3,9,35312,7191,5
,Main,Ellington Equipment,7/1/2014,Sales,"Christensen, Jill",11/12/2010,Nov,"Thermal Vest, Case of 12",NW,"Christensen, Jill",Hourly,799,3,11,35312,8789,5
,Main,Ellington Equipment,10/10/2015,Sales,"Christensen, Jill",11/12/2010,Nov,"Polo Sweatshirt, Case of 12",NW,"Christensen, Jill",Hourly,340,3,4,35312,1360,5
,Main,Ellington Equipment,1/25/2014,Sales,"Christensen, Jill",11/12/2010,Nov,"Polo Sweatshirt, Case of 12",NW,"Christensen, Jill",Hourly,340,3,13,35312,4420,5
,Main,Ellington Equipment,11/23/2014,Sales,"Christensen, Jill",11/12/2010,Nov,90 Day H+ Supplement Pack,NW,"Christensen, Jill",Hourly,168,3,2,35312,336,5
,Main,Ellington Equipment,6/22/2014,Sales,"Christensen, Jill",11/12/2010,Nov,90 Day H+ Supplement Pack,NW,"Christensen, Jill",Hourly,168,3,5,35312,840,5
,Main,Ellington Equipment,10/18/2014,Sales,"Christensen, Jill",11/12/2010,Nov,90 Day H+ Supplement Pack,NW,"Christensen, Jill",Hourly,168,3,7,35312,1176,5
,Main,Ellington Equipment,10/8/2015,Sales,"Christensen, Jill",11/12/2010,Nov,90 Day H+ Supplement Pack,NW,"Christensen, Jill",Hourly,168,3,10,35312,1680,5
,Main,Ellington Equipment,5/7/2014,Sales,"Christensen, Jill",11/12/2010,Nov,30 Day H+ Supplement Pack,NW,"Christensen, Jill",Hourly,79,3,5,35312,395,5
